task_id	task	language
1	binaryTrees	cpp
2	binaryTrees	go
3	binaryTrees	rust
4	empty	cpp
5	fibonacciSequence	cpp
6	fibonacciSequence	go
7	fibonacciSequence	rust
8	fourierTransform	cpp
9	fourierTransform	go
10	fourierTransform	rust
11	helloWorld	cpp
12	helloWorld	go
13	helloWorld	rust
14	LZW_compression	cpp
15	LZW_compression	go
16	LZW_compression	rust
17	mediaFilter	cpp
18	mediaFilter	go
19	mediaFilter	rust
20	mergeSort	cpp
21	mergeSort	go
22	mergeSort	rust
23	numericalIntegration	cpp
24	numericalIntegration	go
25	numericalIntegration	rust
26	objectDetection	rust
27	imageClassification	rust
